certificate_manifest_hash,checkpoint,collision,energy_consumed,episodes,evidence_scope,geometry_hash,invalid_kappa_fallback_count,method,outbound_intervention,path_length,return_success,scenario_family,scenario_hash,scenario_id,seed,task_success,uncertified_task_publication_count
be475728ca2f4c42dbd100d55da7ec0b740914bf71f756fcadc9e9e3b24cdab7,artifacts/checkpoints/mission_narrow/generator_sac/seed_0/checkpoint_latest.pt,0.0,2.64147386714187,20,held-out synthetic empirical evaluation,59bd012002926e5089ce5673dae88979c5ad3d1478367c5dcb311b6d12c02d50,0,generator_sac,0.019607843137254898,5.5044186246360205,1.0,narrow,5e55d12d1e6405dd5b27f653a0ed8550b883e5a012f27178148637b6d49e5625,narrow_heldout_010,0,0.0,0
be475728ca2f4c42dbd100d55da7ec0b740914bf71f756fcadc9e9e3b24cdab7,not_applicable,0.0,2.6414726720813944,20,held-out synthetic empirical evaluation,59bd012002926e5089ce5673dae88979c5ad3d1478367c5dcb311b6d12c02d50,0,center_only,0.019607843137254898,5.503247806981865,1.0,narrow,5e55d12d1e6405dd5b27f653a0ed8550b883e5a012f27178148637b6d49e5625,narrow_heldout_010,0,0.0,0
be475728ca2f4c42dbd100d55da7ec0b740914bf71f756fcadc9e9e3b24cdab7,artifacts/checkpoints/mission_narrow/shield_sac/seed_0/checkpoint_latest.pt,0.0,1.2903762465330204,20,held-out synthetic empirical evaluation,59bd012002926e5089ce5673dae88979c5ad3d1478367c5dcb311b6d12c02d50,0,shield_sac,0.5,2.906154839895478,1.0,narrow,5e55d12d1e6405dd5b27f653a0ed8550b883e5a012f27178148637b6d49e5625,narrow_heldout_010,0,0.0,0
5cb2b4f8a847e4d1d288fd500d546784cd37df57afaf8144b8978c3e4a494cc5,artifacts/checkpoints/mission_narrow/generator_sac/seed_0/checkpoint_latest.pt,0.0,2.5892258666069856,20,held-out synthetic empirical evaluation,610d7097cfc0f214a86619d606ff39817a07085150ca382251da60eb42edbd07,0,generator_sac,0.019607843137254898,5.5038896495312,1.0,narrow,7206b966bef5535dc2510e82e89603de78682c2b757fc0f26fdc8997275b4eeb,narrow_heldout_014,0,0.0,0
5cb2b4f8a847e4d1d288fd500d546784cd37df57afaf8144b8978c3e4a494cc5,not_applicable,0.0,2.589225318752682,20,held-out synthetic empirical evaluation,610d7097cfc0f214a86619d606ff39817a07085150ca382251da60eb42edbd07,0,center_only,0.019607843137254898,5.502669316180606,1.0,narrow,7206b966bef5535dc2510e82e89603de78682c2b757fc0f26fdc8997275b4eeb,narrow_heldout_014,0,0.0,0
5cb2b4f8a847e4d1d288fd500d546784cd37df57afaf8144b8978c3e4a494cc5,artifacts/checkpoints/mission_narrow/shield_sac/seed_0/checkpoint_latest.pt,0.0,1.2648558770494005,20,held-out synthetic empirical evaluation,610d7097cfc0f214a86619d606ff39817a07085150ca382251da60eb42edbd07,0,shield_sac,0.5,2.9049627154336486,1.0,narrow,7206b966bef5535dc2510e82e89603de78682c2b757fc0f26fdc8997275b4eeb,narrow_heldout_014,0,0.0,0
50c1a8dbc1551c5b61df5ac60921a1afeab9ac5ce28d1bf3fb799a5b9d20ebca,artifacts/checkpoints/mission_narrow/generator_sac/seed_0/checkpoint_latest.pt,0.0,2.5630789267192307,20,held-out synthetic empirical evaluation,0e1d9163f0ba88b869f8202647e89a00b3bb429cba56fa00854135639ddfd8b2,0,generator_sac,0.019607843137254898,5.503740365764902,1.0,narrow,27f1f4f5abfece4af4075390b8ea7a29e16e7671bf0862e5238e726269de833b,narrow_heldout_018,0,0.0,0
50c1a8dbc1551c5b61df5ac60921a1afeab9ac5ce28d1bf3fb799a5b9d20ebca,not_applicable,0.0,2.5630778502016485,20,held-out synthetic empirical evaluation,0e1d9163f0ba88b869f8202647e89a00b3bb429cba56fa00854135639ddfd8b2,0,center_only,0.019607843137254898,5.502507596265659,1.0,narrow,27f1f4f5abfece4af4075390b8ea7a29e16e7671bf0862e5238e726269de833b,narrow_heldout_018,0,0.0,0
50c1a8dbc1551c5b61df5ac60921a1afeab9ac5ce28d1bf3fb799a5b9d20ebca,artifacts/checkpoints/mission_narrow/shield_sac/seed_0/checkpoint_latest.pt,0.0,1.2399416125749663,20,held-out synthetic empirical evaluation,0e1d9163f0ba88b869f8202647e89a00b3bb429cba56fa00854135639ddfd8b2,0,shield_sac,0.5,2.896510016711601,1.0,narrow,27f1f4f5abfece4af4075390b8ea7a29e16e7671bf0862e5238e726269de833b,narrow_heldout_018,0,0.0,0
b18615851d5cc0773d3090b017ea276c4e2c873a87358c8c76126d9258c670e8,artifacts/checkpoints/mission_obstacle/generator_sac/seed_0/checkpoint_latest.pt,0.0,5.4443344716453,20,held-out synthetic empirical evaluation,54d6c03a7a964121a63aef357ebb2c9c69635c8172e93d913f93cb2567ed6b8c,0,generator_sac,0.0,10.133088783611212,1.0,obstacle,c0990c80d76175417d517fa9cce720f2bc949e65219e33cae460cfecfb43bd4f,obstacle_heldout_001,0,1.0,0
b18615851d5cc0773d3090b017ea276c4e2c873a87358c8c76126d9258c670e8,not_applicable,0.0,5.444339928663629,20,held-out synthetic empirical evaluation,54d6c03a7a964121a63aef357ebb2c9c69635c8172e93d913f93cb2567ed6b8c,0,center_only,0.0,10.134329951823997,1.0,obstacle,c0990c80d76175417d517fa9cce720f2bc949e65219e33cae460cfecfb43bd4f,obstacle_heldout_001,0,1.0,0
b18615851d5cc0773d3090b017ea276c4e2c873a87358c8c76126d9258c670e8,artifacts/checkpoints/mission_obstacle/shield_sac/seed_0/checkpoint_latest.pt,0.0,1.9721338605283563,20,held-out synthetic empirical evaluation,54d6c03a7a964121a63aef357ebb2c9c69635c8172e93d913f93cb2567ed6b8c,0,shield_sac,0.11111111111111112,3.036415721035985,1.0,obstacle,c0990c80d76175417d517fa9cce720f2bc949e65219e33cae460cfecfb43bd4f,obstacle_heldout_001,0,0.0,0
