ci95_high,ci95_low,environment_step,mean,method,scenario,seeds,std
81.98498250722923,81.97504645320032,2000,81.98001448021478,generator_sac,mission_open,5,0.005667778631823346
81.9745297859283,81.96401569706967,3000,81.96927274149898,generator_sac,mission_open,5,0.005997504441162216
81.96561999612894,81.95833104511686,4000,81.9619755206229,generator_sac,mission_open,5,0.004157803558078706
81.96228647777167,81.95684653126321,5000,81.95956650451744,generator_sac,mission_open,5,0.003103084231352023
81.97163814502557,81.95573770584687,6000,81.96368792543622,generator_sac,mission_open,5,0.009070016039716132
81.96488415465969,81.95208814466567,7000,81.95848614966268,generator_sac,mission_open,5,0.007299170455962865
81.95756627203578,81.9460926178307,8000,81.95182944493324,generator_sac,mission_open,5,0.0065448649879862155
81.95883045660976,81.95029416260898,9000,81.95456230960937,generator_sac,mission_open,5,0.0048693198116550205
81.9625474027325,81.947504784605,10000,81.95502609366875,generator_sac,mission_open,5,0.00858069303384133
-32.35398081029111,-33.608954700294525,1000,-32.98146775529282,penalty_sac,mission_energy_tight,5,0.7158691142946368
-30.67511506380976,-33.01926390782254,2000,-31.84718948581615,penalty_sac,mission_energy_tight,5,1.3371622868852375
-23.257766554021366,-33.52532849947474,3000,-28.391547526748052,penalty_sac,mission_energy_tight,5,5.856879202352995
-24.910269799840655,-30.650467653098822,4000,-27.78036872646974,penalty_sac,mission_energy_tight,5,3.2743552561692932
-20.369016977444215,-27.433850287426797,5000,-23.901433632435506,penalty_sac,mission_energy_tight,5,4.029961104802526
-16.48087716277659,-23.374282220272026,6000,-19.927579691524308,penalty_sac,mission_energy_tight,5,3.932174057398124
-14.911960448020665,-23.04955837526837,7000,-18.980759411644517,penalty_sac,mission_energy_tight,5,4.641893402777362
-13.214032284641549,-19.128443939883212,8000,-16.17123811226238,penalty_sac,mission_energy_tight,5,3.3737312520503586
-12.866400957361979,-17.430880264200564,9000,-15.148640610781271,penalty_sac,mission_energy_tight,5,2.6036954112199484
-14.4615614437728,-15.770656035599094,10000,-15.116108739685947,penalty_sac,mission_energy_tight,5,0.7467409429339125
-28.139166711673816,-30.502021060789062,1000,-29.32059388623144,penalty_sac,mission_narrow,5,1.3478323840695672
-23.316753352733887,-28.231790711210312,2000,-25.7742720319721,penalty_sac,mission_narrow,5,2.8036626646694636
-21.85873118997332,-22.950840072128642,3000,-22.40478563105098,penalty_sac,mission_narrow,5,0.6229667600333167
-17.61691831364916,-21.31235902917974,4000,-19.46463867141445,penalty_sac,mission_narrow,5,2.1079736343741917
-16.705861443888146,-20.66716706221984,5000,-18.686514253053993,penalty_sac,mission_narrow,5,2.259629755673852
-15.481541812203764,-17.50248902337416,6000,-16.492015417788963,penalty_sac,mission_narrow,5,1.1527998324274564
-15.443127125296886,-17.07651774207776,7000,-16.259822433687322,penalty_sac,mission_narrow,5,0.9317276665643719
-15.284525876675609,-15.827866969507102,8000,-15.556196423091356,penalty_sac,mission_narrow,5,0.3099356169745527
-15.22651663916317,-15.815206150369674,9000,-15.520861394766422,penalty_sac,mission_narrow,5,0.33580351140277126
